100,10000,0
200,40000,0
300,90000,1
400,160000,3
500,250000,6
600,360000,11
700,490000,17
800,640000,22
900,810000,27
1000,1000000,32
1100,1210000,39
1200,1440000,46
1300,1690000,53
1400,1960000,62
1500,2250000,71
